i.name,capacity_per_cycle,avg_nb_building,i.hungry_days_list
Simulation 0,10,0,[0,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199]
Simulation 1,10,0,[0,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695]
Simulation 2,10,0,[0,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138]
Simulation 3,10,0,[0,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579]
Simulation 4,10,1,[0,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199]
Simulation 5,10,1,[0,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695]
Simulation 6,10,1,[0,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,3796,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,7853,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,10382,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,13274,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,16543,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138,20138]
Simulation 7,10,1,[0,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,3957,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,5917,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,8187,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,10815,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,13752,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,17024,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579,20579]
Simulation 8,10,2,[0,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,5713,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,7911,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,10447,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,13341,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,16596,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199,20199]
Simulation 9,10,2,[0,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,2412,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,3933,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,5885,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,8169,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,10788,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,13768,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,17085,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695,20695]
