int(self),capacity_per_cycle,avg_nb_building,total_hungry_days
0,10,0,7642
1,10,0,7642
2,10,1,7642
3,10,1,7642
4,10,2,7642
5,10,2,7642
6,10,3,7642
7,10,3,7642
8,10,4,7642
9,10,4,7642
10,10,5,7642
11,10,5,7642
12,12,0,7642
13,12,0,7642
14,12,1,7642
15,12,1,7642
16,12,2,7642
17,12,2,7642
18,12,3,7642
19,12,3,7642
20,12,4,7642
21,12,4,7642
22,12,5,7642
23,12,5,7642
24,14,0,7642
25,14,0,7642
26,14,1,7642
27,14,1,7642
28,14,2,7642
29,14,2,7642
30,14,3,7642
31,14,3,7642
32,14,4,7642
33,14,4,7642
34,14,5,7642
35,14,5,7642
36,16,0,7642
37,16,0,7642
38,16,1,7642
39,16,1,7642
40,16,2,7642
41,16,2,7642
42,16,3,7642
43,16,3,7642
44,16,4,7642
45,16,4,7642
46,16,5,7642
47,16,5,7642
48,18,0,7642
49,18,0,7642
50,18,1,7642
51,18,1,7642
52,18,2,7642
53,18,2,7642
54,18,3,7642
55,18,3,7642
56,18,4,7642
57,18,4,7642
58,18,5,7642
59,18,5,7642
60,20,0,7642
61,20,0,7642
62,20,1,7642
63,20,1,7642
64,20,2,7642
65,20,2,7642
66,20,3,7642
67,20,3,7642
68,20,4,7642
69,20,4,7642
70,20,5,7642
71,20,5,7642
72,22,0,7642
73,22,0,7642
74,22,1,7642
75,22,1,7642
76,22,2,7642
77,22,2,7642
78,22,3,7642
79,22,3,7642
80,22,4,7642
81,22,4,7642
82,22,5,7642
83,22,5,7642
84,24,0,7642
85,24,0,7642
86,24,1,7642
87,24,1,7642
88,24,2,7642
89,24,2,7642
90,24,3,7642
91,24,3,7642
92,24,4,7642
93,24,4,7642
94,24,5,7642
95,24,5,7642
96,26,0,7642
97,26,0,7642
98,26,1,7642
99,26,1,7642
100,26,2,7642
101,26,2,7642
102,26,3,7642
103,26,3,7642
104,26,4,7642
105,26,4,7642
106,26,5,7642
107,26,5,7642
108,28,0,7642
109,28,0,7642
110,28,1,7642
111,28,1,7642
112,28,2,7642
113,28,2,7642
114,28,3,7642
115,28,3,7642
116,28,4,7642
117,28,4,7642
118,28,5,7642
119,28,5,7642
120,30,0,7642
121,30,0,7642
122,30,1,7642
123,30,1,7642
124,30,2,7642
125,30,2,7642
126,30,3,7642
127,30,3,7642
128,30,4,7642
129,30,4,7642
130,30,5,7642
131,30,5,7642
132,32,0,7642
133,32,0,7642
134,32,1,7642
135,32,1,7642
136,32,2,7642
137,32,2,7642
138,32,3,7642
139,32,3,7642
140,32,4,7642
141,32,4,7642
142,32,5,7642
143,32,5,7642
144,34,0,7642
145,34,0,7642
146,34,1,7642
147,34,1,7642
148,34,2,7642
149,34,2,7642
150,34,3,7642
151,34,3,7642
152,34,4,7642
153,34,4,7642
154,34,5,7642
155,34,5,7642
156,36,0,7642
157,36,0,7642
158,36,1,7642
159,36,1,7642
160,36,2,7642
161,36,2,7642
162,36,3,7642
163,36,3,7642
164,36,4,7642
165,36,4,7642
166,36,5,7642
167,36,5,7642
168,38,0,7642
169,38,0,7642
170,38,1,7642
171,38,1,7642
172,38,2,7642
173,38,2,7642
174,38,3,7642
175,38,3,7642
176,38,4,7642
177,38,4,7642
178,38,5,7642
179,38,5,7642
180,40,0,7642
181,40,0,7642
182,40,1,7642
183,40,1,7642
184,40,2,7642
185,40,2,7642
186,40,3,7642
187,40,3,7642
188,40,4,7642
189,40,4,7642
190,40,5,7642
191,40,5,7642
192,42,0,7642
193,42,0,7642
194,42,1,7642
195,42,1,7642
196,42,2,7642
197,42,2,7642
198,42,3,7642
199,42,3,7642
200,42,4,7642
201,42,4,7642
202,42,5,7642
203,42,5,7642
204,44,0,7642
205,44,0,7642
206,44,1,7642
207,44,1,7642
208,44,2,7642
209,44,2,7642
210,44,3,7642
211,44,3,7642
212,44,4,7642
213,44,4,7642
214,44,5,7642
215,44,5,7642
216,46,0,7642
217,46,0,7642
218,46,1,7642
219,46,1,7642
220,46,2,7642
221,46,2,7642
222,46,3,7642
223,46,3,7642
